Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
Haggerston,E05000239,295.3051402,11625.0,5166,823,452500.0,43830.0,45.8,29.21568627,1.235036496,172.5047336,6.0,7.564285714,19.09750734,5.707508965,0.322410486,47.96562181
Hoxton,E05000240,322.5357798,19000.0,5647,1020,475000.0,42490.0,41.7,29.83333333,1.249831876,125.0,6.0,7.507758445,27.61195927,5.828051271,0.307487816,49.14244076
King's Park,E05000241,320.5472603,6194.444444,3656,915,383000.0,38930.0,30.6,25.27777778,1.035324675,64.08463018,7.9,7.199208952,66.91787974,2.853333482,0.464708669,42.95101594
Leabridge,E05000242,338.5455285,12818.18182,4569,838,375000.0,42650.0,41.5,22.19178082,1.304945992,76.22882533,6.7,7.233730159,22.98413783,4.303288939,0.481166244,39.3616543
Lordship,E05000243,335.9011905,10250.0,3993,546,420000.0,48700.0,40.4,11.92771084,0.863246073,65.3667892,5.6,7.108333333,33.61929498,3.667664887,0.468437092,37.49450571
New River,E05000244,320.4537634,12600.0,3658,650,340000.0,43230.0,26.6,11.50537634,1.322997172,57.47380847,6.2,7.298611111,27.98306042,5.044908251,0.408720546,44.43720368
Queensbridge,E05000245,294.4322034,12454.54545,5211,890,465000.0,44620.0,44.6,23.62068966,1.219585561,131.3678581,7.0,7.315217391,15.59048346,4.776162274,0.427072758,46.30001653
Springfield,E05000246,331.8378947,12400.0,3554,782,285000.0,40810.0,21.9,15.54455446,1.294187898,64.18301692,6.4,7.415552585,26.47044881,3.237558006,0.44001842,41.31513828
Stoke Newington Central,E05000247,327.7178947,17857.14286,4601,614,483125.0,51920.0,52.4,18.72340426,1.122240129,87.77380767,5.8,7.548103318,13.32020066,5.256227654,0.436023436,37.23141492
Victoria,E05000248,320.5949153,16625.0,5054,984,471250.0,45410.0,41.8,24.26470588,1.205002875,102.3865645,6.4,8.115853659,20.98290699,4.691406529,0.444700461,43.85449378
Wick,E05000249,310.6221374,7375.0,4279,931,340000.0,40010.0,34.4,30.48387097,1.257454331,99.49674119,7.0,7.518518519,48.75945345,3.947464478,0.473760933,50.63052608
Addison,E05000250,330.5236364,19166.66667,4710,476,572500.0,63150.0,57.4,16.66666667,1.136170213,100.5074335,4.2,7.664772727,0.291070469,6.525039351,0.476658916,27.10532764
Askew,E05000251,312.8184049,17687.5,5312,761,499999.5,54390.0,45.1,17.25806452,1.589358245,73.33140292,5.4,7.973160145,3.601523979,3.595044596,0.51716394,32.02269972
Avonmore and Brook Green,E05000252,343.1041667,13555.55556,4555,491,618250.0,62140.0,54.5,12.7027027,1.086762075,63.83329215,4.5,7.805555556,8.770797379,6.03902444,0.471935653,22.90031892
College Park and Old Oak,E05000253,317.3738318,2691.176471,2958,715,458000.0,43410.0,31.9,27.27272727,1.275256917,118.4878301,6.2,7.654761905,43.77921557,4.890492559,0.430865542,39.71218269
Fulham Broadway,E05000254,294.339,15714.28571,4201,529,805000.0,60160.0,47.7,18.91891892,1.0,92.0980428,5.7,7.502956989,3.082933278,5.375265869,0.477290997,29.62901995
Fulham Reach,E05000255,343.0671642,12500.0,4247,460,786250.0,59970.0,51.6,15.29411765,1.136075949,88.0447324,4.6,7.548635308,20.91851486,4.176905245,0.510422991,22.58558537
Hammersmith Broadway,E05000256,325.3680851,10818.18182,4517,652,741250.0,56010.0,45.3,20.88888889,1.343729904,217.6350663,6.2,7.64673913,9.144903326,5.96747849,0.478152549,30.07179653
Munster,E05000257,279.8714286,18333.33333,4323,349,745000.0,73820.0,56.9,9.25,0.888607595,53.57142857,3.6,7.391129032,8.506953419,3.701931161,0.687190083,18.82502112
